Node1,Relationship,Node2
9E515.a,controlledBy,9B515
9E515.a,controlledBy,9D515.a
9E515.b,controlledBy,9D515.b
9E515.d,controlledBy,9A515.d
9E515.e,controlledBy,9A515.e
9E515.f,controlledBy,9A515.a.1
9E604,controlledBy,9A604
9E604,controlledBy,9B604
9E604,controlledBy,9D604
9E604.a,controlledBy,9A604
9E604.a,controlledBy,9B604
9E604.a,controlledBy,9D604
9E610,controlledBy,9A610
9E610,controlledBy,9B610
9E610,controlledBy,9C610
9E610.a,controlledBy,9D610
9E610.b.6,controlledBy,9A610.a
9E610.b.7,controlledBy,9A610.a
9E619,controlledBy,9A619
9E619,controlledBy,9B619
9E619,controlledBy,9C619
9E619,controlledBy,9D619
9E619.a,controlledBy,9A619
9E619.a,controlledBy,9A619.y
9E619.a,controlledBy,9B619
9E619.a,controlledBy,9B619.y
9E619.a,controlledBy,9C619
9E619.a,controlledBy,9D619
9E619.a,controlledBy,9D619.y
9E619.b.10,controlledBy,9C619.b
9E619.y,controlledBy,9A619.y
9E619.y,controlledBy,9B619.y
9E619.y,controlledBy,9D619.y
9E990,controlledBy,9A990
9E990,controlledBy,9B990
9E991,controlledBy,9A991
9E991,controlledBy,9B991
