Node1,Relationship,Node2
9D610.b,ChildIs_or,9D610.b.5
9D610.b,ChildIs_or,9D610.b.6
9D610.b,ChildIs_or,9D610.b.7
9D610.b,ChildIs_or,9D610.b.8
9D610.b,ChildIs_or,9D610.b.9
9D610.b,ChildIs_or,9D610.b.10
9D610.b,ChildIs_or,9D610.b.11
9D610.b,ChildIs_or,9D610.b.12
9D610.b,ChildIs_or,9D610.b.13
9D610.b,ChildIs_or,9D610.b.14
9D610,ChildIs,9D610.y
9D,ChildIs,9D619
9D619,ChildIs,9D619.a
9D619,ChildIs,9D619.b
9D619.b,ChildIs_or,9D619.b.1
9D619.b,ChildIs_or,9D619.b.2
9D619.b,ChildIs_or,9D619.b.3
9D619.b,ChildIs_or,9D619.b.4
9D619.b,ChildIs_or,9D619.b.5
9D619.b,ChildIs_or,9D619.b.6
9D619.b,ChildIs_or,9D619.b.7
9D619.b,ChildIs_or,9D619.b.8
9D619.b,ChildIs_or,9D619.b.9
9D619.b,ChildIs_or,9D619.b.10
9D619.b,ChildIs_or,9D619.b.11
9D619,ChildIs,9D619.y
9D,ChildIs,9D620
9D,ChildIs,9D990
9D,ChildIs,9D991
9,ChildIs,9E
9E,ChildIs,9E001
9E,ChildIs,9E002
9E,ChildIs,9E003
9E003,ChildIs,9E003.a
9E003.a,ChildIs_or,9E003.a.1
9E003.a,ChildIs_or,9E003.a.2
9E003.a,ChildIs_or,9E003.a.3
9E003.a,ChildIs_or,9E003.a.4
9E003.a,ChildIs_or,9E003.a.5
9E003.a,ChildIs_or,9E003.a.6
9E003.a,ChildIs_or,9E003.a.8
9E003.a,ChildIs_or,9E003.a.11
9E003.a.2,ChildIs_or,9E003.a.2.a
9E003.a.2,ChildIs_or,9E003.a.2.b
9E003.a.2,ChildIs_or,9E003.a.2.c
9E003.a.2,ChildIs_or,9E003.a.2.d
9E003.a.2,ChildIs_or,9E003.a.2.e
9E003.a.3,ChildIs_or,9E003.a.3.a
9E003.a.3,ChildIs_or,9E003.a.3.b
9E003.a.3,ChildIs_or,9E003.a.3.c
9E003.a.3.b,ChildIs_or,9E003.a.3.b.1
9E003.a.3.b,ChildIs_or,9E003.a.3.b.2
9E003.a.3.b.1,ChildIs_or,9E003.a.3.b.1.a
9E003.a.3.b.1,ChildIs_or,9E003.a.3.b.1.b
9E003.a.3.b.1,ChildIs_or,9E003.a.3.b.1.c
9E003.a.3.c,ChildIs_and,9E003.a.3.c.1
9E003.a.3.c,ChildIs_and,9E003.a.3.c.2
9E003.a.3.c,ChildIs_and,9E003.a.3.c.3
9E003.a.11,ChildIs_and,9E003.a.11.a
9E003.a.11,ChildIs_and,9E003.a.11.b
9E003,ChildIs,9E003.b
9E003.b,ChildIs_or,9E003.b.1
9E003.b,ChildIs_or,9E003.b.2
9E003,ChildIs,9E003.c
9E003.c,ChildIs_or,9E003.c.1
9E003.c,ChildIs_or,9E003.c.2
9E003.c.1,ChildIs_and,9E003.c.1.a
9E003.c.1,ChildIs_and,9E003.c.1.b
9E003.c.1,ChildIs_and,9E003.c.1.c
9E003.c.2,ChildIs_and,9E003.c.2.a
9E003.c.2,ChildIs_and,9E003.c.2.b
9E003.c.2,ChildIs_and,9E003.c.2.c
9E003,ChildIs,9E003.d
9E003,ChildIs,9E003.e
9E003.e,ChildIs_and,9E003.e.1
9E003.e,ChildIs_and,9E003.e.2
9E003.e,ChildIs_and,9E003.e.3
9E003,ChildIs,9E003.f
9E003.f,ChildIs,9E003.f.1
9E003.f.1,ChildIs_and,9E003.f.1.a
9E003.f.1,ChildIs_and,9E003.f.1.b
9E003.f.1,ChildIs_and,9E003.f.1.c
9E003.f.1,ChildIs_and,9E003.f.1.d
9E003.f,ChildIs,9E003.f.2
9E003.f.2,ChildIs_and,9E003.f.2.a
9E003.f.2,ChildIs_and,9E003.f.2.b
9E003.f.2,ChildIs_and,9E003.f.2.c
9E003.f,ChildIs,9E003.f.3
9E003.f.3,ChildIs_and,9E003.f.3.a
9E003.f.3,ChildIs_and,9E003.f.3.b
9E003,ChildIs,9E003.g
9E003,ChildIs,9E003.h
9E003.h,ChildIs,9E003.h.1
9E003.h,ChildIs,9E003.h.2
9E003.h,ChildIs,9E003.h.3
9E003,ChildIs,9E003.i
9E003.i,ChildIs,9E003.i.1
9E003.i,ChildIs,9E003.i.2
9E003.i,ChildIs,9E003.i.3
9E003,ChildIs,9E003.j
9E003,ChildIs,9E003.k
9E003.k,ChildIs_or,9E003.k.1
9E003.k,ChildIs_or,9E003.k.2
9E003.k,ChildIs_or,9E003.k.3
9E003.k,ChildIs_or,9E003.k.4
9E003.k,ChildIs_or,9E003.k.5
9E003.k,ChildIs_or,9E003.k.6
9E003,ChildIs,9E003.l
9E,ChildIs,9E018
9E,ChildIs,9E101
9E,ChildIs,9E102
9E,ChildIs,9E515
9E515,ChildIs,9E515.a
9E515,ChildIs,9E515.b
9E515,ChildIs,9E515.d
9E515,ChildIs,9E515.e
9E515,ChildIs,9E515.f
9E515,ChildIs,9E515.y
9E,ChildIs,9E604
9E604,ChildIs,9E604.a
9E,ChildIs,9E610
9E610,ChildIs,9E610.a
9E610,ChildIs,9E610.b
9E610.b,ChildIs_or,9E610.b.1
9E610.b,ChildIs_or,9E610.b.2
9E610.b,ChildIs_or,9E610.b.3
